,Price,Room type,Person capacity,Longitude,Latitude,City,Neighbourhood
8892,172.84,Entire home,3,-9.14858,38.7102,Lisbon,Misericrdia
8893,132.5,Private room,2,-9.15332,38.7148,Lisbon,Misericrdia
8894,107.88,Private room,2,-9.13343,38.72603,Lisbon,Arroios
8895,223.03,Entire home,3,-9.19814,38.69794,Lisbon,Belm
8896,201.92,Entire home,2,-9.15057,38.71222,Lisbon,Misericrdia
8897,129.92,Private room,2,-9.1536,38.7115,Lisbon,Misericrdia
8898,213.65,Entire home,4,-9.14987,38.70971,Lisbon,Misericrdia
8899,226.55,Private room,2,-9.14775,38.70923,Lisbon,Misericrdia
8900,216.93,Entire home,3,-9.149,38.71,Lisbon,Misericrdia
8901,292.68,Entire home,4,-9.14916,38.7105,Lisbon,Misericrdia
8902,210.13,Entire home,2,-9.2115,38.69466,Lisbon,Belm
8903,295.97,Entire home,4,-9.14958,38.70932,Lisbon,Misericrdia
8904,521.58,Entire home,4,-9.14953,38.71218,Lisbon,Misericrdia
8905,188.09,Entire home,2,-9.21228,38.69573,Lisbon,Belm
8906,193.95,Entire home,3,-9.21272,38.69579,Lisbon,Belm
8907,280.02,Entire home,2,-9.14809,38.71499,Lisbon,Misericrdia
8908,340.29,Entire home,4,-9.14836,38.71561,Lisbon,Misericrdia
8909,286.82,Entire home,4,-9.15191,38.71289,Lisbon,Misericrdia
8910,271.81,Entire home,4,-9.1534,38.71565,Lisbon,Misericrdia
8911,291.74,Entire home,4,-9.14958,38.71271,Lisbon,Misericrdia
8912,212.48,Entire home,4,-9.14813,38.71081,Lisbon,Misericrdia
8913,268.29,Private room,2,-9.1528,38.71227,Lisbon,Estrela
8914,182.22,Entire home,5,-9.19831,38.69839,Lisbon,Belm
8915,238.04,Entire home,3,-9.15193,38.7106,Lisbon,Misericrdia
8916,292.68,Entire home,5,-9.14452,38.74378,Lisbon,Areeiro
8917,222.56,Entire home,4,-9.14977,38.71011,Lisbon,Misericrdia
8918,221.62,Entire home,4,-9.21849,38.69691,Lisbon,Belm
8919,239.21,Entire home,4,-9.15081,38.71332,Lisbon,Misericrdia
8920,94.98,Private room,2,-9.15339,38.71598,Lisbon,Misericrdia
8921,240.38,Entire home,4,-9.14822,38.71105,Lisbon,Misericrdia
8922,295.97,Entire home,6,-9.11726,38.7494,Lisbon,Marvila
8923,251.88,Entire home,2,-9.153,38.717,Lisbon,Santo Antnio
8924,275.09,Entire home,4,-9.15084,38.715,Lisbon,Misericrdia
8925,461.3,Entire home,5,-9.14889,38.71008,Lisbon,Misericrdia
8926,437.85,Entire home,6,-9.148,38.709,Lisbon,Misericrdia
8927,234.52,Entire home,4,-9.14899,38.71032,Lisbon,Misericrdia
8928,257.74,Entire home,4,-9.15279,38.70927,Lisbon,Misericrdia
8929,246.25,Entire home,4,-9.149,38.71,Lisbon,Misericrdia
8930,333.26,Entire home,2,-9.15279,38.7101,Lisbon,Misericrdia
8931,275.09,Entire home,4,-9.1494,38.7142,Lisbon,Misericrdia
8932,403.14,Entire home,2,-9.14878,38.7116,Lisbon,Misericrdia
8933,259.15,Entire home,4,-9.152,38.712,Lisbon,Misericrdia
8934,251.88,Entire home,3,-9.14904,38.70993,Lisbon,Misericrdia
8935,214.82,Entire home,6,-9.09947,38.76539,Lisbon,Parque das Naes
8936,519.23,Entire home,4,-9.14966,38.71565,Lisbon,Misericrdia
8937,246.25,Entire home,4,-9.14875,38.71063,Lisbon,Misericrdia
8938,298.55,Entire home,4,-9.15158,38.7097,Lisbon,Misericrdia
8939,160.88,Private room,2,-9.136,38.745,Lisbon,Areeiro
8940,246.25,Entire home,4,-9.15178,38.7153,Lisbon,Misericrdia
8941,255.63,Entire home,2,-9.15116,38.7106,Lisbon,Misericrdia
8942,255.63,Private room,2,-9.20267,38.6965,Lisbon,Belm
8943,415.81,Entire home,4,-9.14878,38.714,Lisbon,Misericrdia
8944,231.0,Entire home,3,-9.15045,38.71368,Lisbon,Misericrdia
8945,214.82,Entire home,3,-9.15131,38.71233,Lisbon,Misericrdia
8946,305.35,Entire home,4,-9.15043,38.71286,Lisbon,Misericrdia
8947,247.42,Entire home,5,-9.15037,38.71066,Lisbon,Misericrdia
8948,234.52,Entire home,4,-9.14869,38.71017,Lisbon,Misericrdia
8949,284.47,Entire home,6,-9.10392,38.77121,Lisbon,Parque das Naes
8950,228.89,Entire home,5,-9.21259,38.695440000000005,Lisbon,Belm
8951,218.34,Entire home,4,-9.14717,38.70932,Lisbon,Misericrdia
8952,201.92,Entire home,3,-9.14669,38.70938,Lisbon,Misericrdia
8953,263.6,Entire home,4,-9.15033,38.70954,Lisbon,Misericrdia
8954,205.44,Entire home,5,-9.15209,38.71291,Lisbon,Misericrdia
8955,154.08,Entire home,2,-9.20105,38.6982,Lisbon,Belm
8956,240.38,Entire home,6,-9.148,38.711,Lisbon,Misericrdia
8957,204.5,Entire home,4,-9.19766,38.69669,Lisbon,Belm
